SpaceID,EventTime_UTC,OccupancyState
CB1850,07/23/2019 05:23:22 PM,OCCUPIED
CB3876,07/23/2019 05:23:21 PM,OCCUPIED
CB3757,07/23/2019 05:23:21 PM,OCCUPIED
ED243,07/23/2019 05:23:20 PM,OCCUPIED
CT417,07/23/2019 05:23:20 PM,VACANT
WV30,07/23/2019 05:23:20 PM,OCCUPIED
CT568,07/23/2019 05:23:19 PM,OCCUPIED
SV702,07/23/2019 05:23:19 PM,OCCUPIED
CB2306,07/23/2019 05:23:19 PM,OCCUPIED
CT183,07/23/2019 05:23:18 PM,OCCUPIED
CT379,07/23/2019 05:23:18 PM,VACANT
66136,07/23/2019 05:23:18 PM,OCCUPIED
CB2263,07/23/2019 05:23:17 PM,OCCUPIED
HO238,07/23/2019 05:23:17 PM,VACANT
CB810,07/23/2019 05:23:16 PM,OCCUPIED
CT96,07/23/2019 05:23:14 PM,VACANT
CT20,07/23/2019 05:23:14 PM,VACANT
CB85,07/23/2019 05:23:14 PM,OCCUPIED
CB3776,07/23/2019 05:23:13 PM,OCCUPIED
SV76,07/23/2019 05:23:13 PM,OCCUPIED
SV241,07/23/2019 05:23:12 PM,OCCUPIED
SV74,07/23/2019 05:23:12 PM,OCCUPIED
CB862,07/23/2019 05:23:12 PM,OCCUPIED
CB92,07/23/2019 05:23:12 PM,VACANT
CB2258,07/23/2019 05:23:11 PM,OCCUPIED
SV189A,07/23/2019 05:23:11 PM,VACANT
SV10,07/23/2019 05:23:11 PM,VACANT
CC767,07/23/2019 05:23:10 PM,OCCUPIED
CB3952,07/23/2019 05:23:09 PM,OCCUPIED
CB4333A,07/23/2019 05:23:09 PM,VACANT
CB2382,07/23/2019 05:23:09 PM,OCCUPIED
CB2305A,07/23/2019 05:23:08 PM,OCCUPIED
HO165,07/23/2019 05:23:08 PM,VACANT
CT389,07/23/2019 05:23:07 PM,VACANT
LT68,07/23/2019 05:23:07 PM,OCCUPIED
V207,07/23/2019 05:23:06 PM,VACANT
CB942,07/23/2019 05:23:06 PM,VACANT
CB2141,07/23/2019 05:23:06 PM,OCCUPIED
CT65,07/23/2019 05:23:05 PM,OCCUPIED
CB574,07/23/2019 05:23:04 PM,OCCUPIED
CC1422,07/23/2019 05:23:04 PM,OCCUPIED
LT279,07/23/2019 05:23:03 PM,OCCUPIED
CB2438,07/23/2019 05:23:03 PM,OCCUPIED
CB2181,07/23/2019 05:23:02 PM,VACANT
LT562,07/23/2019 05:23:02 PM,OCCUPIED
SV35,07/23/2019 05:23:02 PM,OCCUPIED
CC1314,07/23/2019 05:23:01 PM,OCCUPIED
HO142,07/23/2019 05:23:01 PM,OCCUPIED
HO640,07/23/2019 05:23:00 PM,OCCUPIED
66599,07/23/2019 05:23:00 PM,OCCUPIED
CB3637,07/23/2019 05:22:59 PM,OCCUPIED
LT395,07/23/2019 05:22:59 PM,OCCUPIED
CB3093A,07/23/2019 05:22:58 PM,VACANT
CB3803,07/23/2019 05:22:57 PM,OCCUPIED
CB3395,07/23/2019 05:22:56 PM,OCCUPIED
SV117,07/23/2019 05:22:56 PM,VACANT
CC1573,07/23/2019 05:22:56 PM,OCCUPIED
CB3224,07/23/2019 05:22:56 PM,OCCUPIED
CB2317,07/23/2019 05:22:56 PM,VACANT
SV385,07/23/2019 05:22:56 PM,OCCUPIED
ED240,07/23/2019 05:22:56 PM,OCCUPIED
CB3747,07/23/2019 05:22:55 PM,VACANT
CT566,07/23/2019 05:22:55 PM,OCCUPIED
CB3139,07/23/2019 05:22:55 PM,OCCUPIED
CB2300,07/23/2019 05:22:54 PM,VACANT
CB2793,07/23/2019 05:22:54 PM,OCCUPIED
61462,07/23/2019 05:22:54 PM,VACANT
CT154,07/23/2019 05:22:53 PM,VACANT
V250,07/23/2019 05:22:53 PM,VACANT
LT396,07/23/2019 05:22:53 PM,OCCUPIED
CB3576,07/23/2019 05:22:53 PM,VACANT
CT419,07/23/2019 05:22:53 PM,VACANT
CB1366,07/23/2019 05:22:53 PM,VACANT
61123,07/23/2019 05:22:53 PM,VACANT
SV103,07/23/2019 05:22:53 PM,VACANT
CT281,07/23/2019 05:22:53 PM,OCCUPIED
WV225,07/23/2019 05:22:53 PM,VACANT
CB2316,07/23/2019 05:22:52 PM,VACANT
LT226,07/23/2019 05:22:52 PM,VACANT
82826,07/23/2019 05:22:52 PM,OCCUPIED
CC1249,07/23/2019 05:22:51 PM,OCCUPIED
CB925,07/23/2019 05:22:51 PM,OCCUPIED
CT434A,07/23/2019 05:22:51 PM,OCCUPIED
CT164,07/23/2019 05:22:51 PM,OCCUPIED
CT36,07/23/2019 05:22:50 PM,OCCUPIED
CT138,07/23/2019 05:22:49 PM,OCCUPIED
61432,07/23/2019 05:22:49 PM,OCCUPIED
HO461,07/23/2019 05:22:49 PM,OCCUPIED
SV381,07/23/2019 05:22:49 PM,VACANT
ED237A,07/23/2019 05:22:48 PM,VACANT
CC775,07/23/2019 05:22:47 PM,VACANT
V68,07/23/2019 05:22:47 PM,OCCUPIED
WP145,07/23/2019 05:22:46 PM,VACANT
HO286,07/23/2019 05:22:45 PM,OCCUPIED
CB1215,07/23/2019 05:22:44 PM,OCCUPIED
66420,07/23/2019 05:22:44 PM,OCCUPIED
CB3136,07/23/2019 05:22:44 PM,VACANT
CB386,07/23/2019 05:22:44 PM,OCCUPIED
SV940,07/23/2019 05:22:43 PM,VACANT
HO1069,07/23/2019 05:22:43 PM,VACANT
CB3047,07/23/2019 05:22:43 PM,OCCUPIED
CB842,07/23/2019 05:22:43 PM,VACANT
CB1585,07/23/2019 05:22:42 PM,OCCUPIED
CB3398,07/23/2019 05:22:42 PM,OCCUPIED
SV155,07/23/2019 05:22:41 PM,OCCUPIED
HO18,07/23/2019 05:22:40 PM,OCCUPIED
CB3193,07/23/2019 05:22:40 PM,OCCUPIED
CB3036,07/23/2019 05:22:40 PM,VACANT
CB3005A,07/23/2019 05:22:39 PM,OCCUPIED
CB3807,07/23/2019 05:22:39 PM,OCCUPIED
CB3348,07/23/2019 05:22:39 PM,VACANT
LT480,07/23/2019 05:22:38 PM,VACANT
HO241,07/23/2019 05:22:37 PM,OCCUPIED
HO276A,07/23/2019 05:22:37 PM,VACANT
ED205B,07/23/2019 05:22:37 PM,VACANT
WP163,07/23/2019 05:22:36 PM,OCCUPIED
CB778,07/23/2019 05:22:34 PM,OCCUPIED
CB4245,07/23/2019 05:22:34 PM,VACANT
CT490,07/23/2019 05:22:34 PM,VACANT
ED229,07/23/2019 05:22:33 PM,VACANT
CB1584,07/23/2019 05:22:33 PM,VACANT
HO137,07/23/2019 05:22:32 PM,VACANT
66407,07/23/2019 05:22:32 PM,OCCUPIED
CB1432,07/23/2019 05:22:32 PM,OCCUPIED
CT402,07/23/2019 05:22:31 PM,OCCUPIED
ED607,07/23/2019 05:22:31 PM,OCCUPIED
LT297A,07/23/2019 05:22:30 PM,VACANT
LT274,07/23/2019 05:22:30 PM,VACANT
CB1364,07/23/2019 05:22:28 PM,OCCUPIED
CB2143,07/23/2019 05:22:28 PM,OCCUPIED
CB710,07/23/2019 05:22:27 PM,OCCUPIED
CB2176A,07/23/2019 05:22:26 PM,OCCUPIED
WV330,07/23/2019 05:22:25 PM,OCCUPIED
CB1630,07/23/2019 05:22:24 PM,VACANT
CB4490,07/23/2019 05:22:24 PM,VACANT
CB2175,07/23/2019 05:22:24 PM,VACANT
ED601A,07/23/2019 05:22:23 PM,OCCUPIED
CB4504,07/23/2019 05:22:23 PM,VACANT
CB1846B,07/23/2019 05:22:23 PM,VACANT
66613,07/23/2019 05:22:23 PM,VACANT
CB3906,07/23/2019 05:22:23 PM,VACANT
CB705A,07/23/2019 05:22:22 PM,OCCUPIED
CB1051,07/23/2019 05:22:19 PM,VACANT
CB950,07/23/2019 05:22:19 PM,OCCUPIED
LT387,07/23/2019 05:22:19 PM,OCCUPIED
ED224,07/23/2019 05:22:18 PM,VACANT
ED657,07/23/2019 05:22:18 PM,VACANT
SV291A,07/23/2019 05:22:18 PM,OCCUPIED
HO117,07/23/2019 05:22:17 PM,OCCUPIED
SV145,07/23/2019 05:22:16 PM,VACANT
LT276,07/23/2019 05:22:16 PM,VACANT
CT50,07/23/2019 05:22:16 PM,VACANT
CT424,07/23/2019 05:22:15 PM,VACANT
SV124,07/23/2019 05:22:15 PM,VACANT
CB3756,07/23/2019 05:22:15 PM,OCCUPIED
CB779,07/23/2019 05:22:15 PM,OCCUPIED
LT75,07/23/2019 05:22:15 PM,OCCUPIED
CB3023,07/23/2019 05:22:13 PM,OCCUPIED
CT42,07/23/2019 05:22:12 PM,OCCUPIED
CB2755,07/23/2019 05:22:12 PM,OCCUPIED
LT428,07/23/2019 05:22:12 PM,VACANT
ED396,07/23/2019 05:22:12 PM,OCCUPIED
CB444,07/23/2019 05:22:10 PM,VACANT
CC318A,07/23/2019 05:22:10 PM,OCCUPIED
CB2969,07/23/2019 05:22:09 PM,VACANT
61438,07/23/2019 05:22:09 PM,VACANT
CB554A,07/23/2019 05:22:09 PM,VACANT
SV622,07/23/2019 05:22:09 PM,OCCUPIED
LT163,07/23/2019 05:22:08 PM,OCCUPIED
CB598,07/23/2019 05:22:06 PM,OCCUPIED
CT414,07/23/2019 05:22:06 PM,VACANT
WP5,07/23/2019 05:22:05 PM,OCCUPIED
CC463A,07/23/2019 05:22:04 PM,OCCUPIED
LT572,07/23/2019 05:22:04 PM,OCCUPIED
WV314,07/23/2019 05:22:04 PM,VACANT
CT311A,07/23/2019 05:22:03 PM,VACANT
ED247,07/23/2019 05:22:03 PM,OCCUPIED
CT443,07/23/2019 05:22:03 PM,VACANT
HO692A,07/23/2019 05:22:03 PM,VACANT
CT374,07/23/2019 05:22:03 PM,VACANT
CC1312,07/23/2019 05:22:01 PM,OCCUPIED
HO723A,07/23/2019 05:22:01 PM,OCCUPIED
LT100,07/23/2019 05:22:00 PM,VACANT
CT352,07/23/2019 05:22:00 PM,VACANT
SV109,07/23/2019 05:21:59 PM,VACANT
WP14,07/23/2019 05:21:59 PM,OCCUPIED
SV168,07/23/2019 05:21:59 PM,OCCUPIED
CB3102,07/23/2019 05:21:59 PM,OCCUPIED
CT73,07/23/2019 05:21:58 PM,VACANT
HO700,07/23/2019 05:21:57 PM,VACANT
LT304C,07/23/2019 05:21:57 PM,OCCUPIED
HO111A,07/23/2019 05:21:57 PM,VACANT
CB3201A,07/23/2019 05:21:57 PM,OCCUPIED
CT461A,07/23/2019 05:21:57 PM,VACANT
SV4,07/23/2019 05:21:56 PM,VACANT
HO513B,07/23/2019 05:21:55 PM,OCCUPIED
CB4305,07/23/2019 05:21:54 PM,VACANT
CB3848,07/23/2019 05:21:54 PM,OCCUPIED
CB2190,07/23/2019 05:21:54 PM,OCCUPIED
CC1234,07/23/2019 05:21:54 PM,VACANT
WV439,07/23/2019 05:21:53 PM,VACANT
66434,07/23/2019 05:21:53 PM,OCCUPIED
CB3345,07/23/2019 05:21:51 PM,OCCUPIED
HO263A,07/23/2019 05:21:50 PM,OCCUPIED
LT563,07/23/2019 05:21:50 PM,VACANT
HO246,07/23/2019 05:21:49 PM,VACANT
CB2405,07/23/2019 05:21:49 PM,OCCUPIED
HO209,07/23/2019 05:21:49 PM,VACANT
CB385,07/23/2019 05:21:47 PM,VACANT
CT1,07/23/2019 05:21:46 PM,VACANT
CT553,07/23/2019 05:21:46 PM,VACANT
ED602,07/23/2019 05:21:46 PM,OCCUPIED
V170,07/23/2019 05:21:46 PM,OCCUPIED
CB804,07/23/2019 05:21:46 PM,OCCUPIED
66433,07/23/2019 05:21:45 PM,OCCUPIED
CT309,07/23/2019 05:21:44 PM,VACANT
LT374,07/23/2019 05:21:44 PM,OCCUPIED
LT329,07/23/2019 05:21:43 PM,OCCUPIED
CB4421,07/23/2019 05:21:43 PM,OCCUPIED
CB592,07/23/2019 05:21:43 PM,VACANT
CB657,07/23/2019 05:21:43 PM,OCCUPIED
V113,07/23/2019 05:21:43 PM,OCCUPIED
61433,07/23/2019 05:21:42 PM,OCCUPIED
CB1542,07/23/2019 05:21:42 PM,VACANT
SV750,07/23/2019 05:21:41 PM,VACANT
LT99,07/23/2019 05:21:40 PM,OCCUPIED
SV251,07/23/2019 05:21:40 PM,VACANT
CB3785,07/23/2019 05:21:39 PM,OCCUPIED
WV74A,07/23/2019 05:21:38 PM,OCCUPIED
